English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
black,nero,/nero/,Is it the Black Man?,È l'uomo nero?,/e lwɔmo nero?/,A1,Social,"A1,Social",
blank,vuoto,/vʊɔto/,Is it blank cartridge or ball?,Si tratta di una cartuccia vuota o di una palla?,/sɪ tratːa dɪ ʊna kartutʃːa vʊɔta o dɪ ʊna palla?/,A1,Social,"A1,Social",
block,blocco,/blɔkːo/,Who will block the streams?,Chi bloccherà i flussi?,/kɪ blokːeɾa i flussɪ?/,A1,Time & Quantity,"A1,Time & Quantity",
blog,blog,/bloɡ/,Do we have a blog?,Abbiamo un blog?,/abːjamo ʊn bloɡ?/,A1,Social,"A1,Social",
blonde,bionda,/bjonda/,"The lady was young, blonde, and dressed in blue.","La signora era giovane, bionda e vestita di blu.","/la siɲora ɛra dʒovane, bjonda e vestita dɪ blu./",A1,Social,"A1,Social",
blow,soffio,/soffio/,The wind did blow something.,Il vento ha soffiato qualcosa.,/il vɛnto a soffjato kwalkɔza./,A1,Shopping,"A1,Shopping",
blue,blu,/blu/,"He is Blue, I think?","E' blu, credo?","/e blu, krɛdo?/",A1,Grammar,"A1,Grammar",
board,bordo,/bɔrdo/,"Bow to the board, ” said Bumble.","Inchinatevi al consiglio"", ha detto Bumble.","/inkinatevɪ al konsiʎo"", a detːo bumble./",A1,Food,"A1,Food",
boat,barca,/barka/,Have ye seen a whale-boat adrift?,Avete visto una baleniera alla deriva?,/avete visto ʊna baleniɛra alla deriva?/,A1,Shopping,"A1,Shopping",
body,corpo,/kɔrpo/,I shall be a body.,Sarò un corpo.,/saɾɔ ʊn kɔrpo./,A1,Social,"A1,Social",
bone,osso,/ɔsso/,Of his bones are coral made.,Le sue ossa sono fatte di corallo.,/le sʊe ossa sono fatːe dɪ korallo./,A1,Grammar,"A1,Grammar",
book,libro,/libro/,The Great Book is finished.,Il Grande Libro è finito.,/il ɡrande libro e finito./,A1,Social,"A1,Social",
bookstore,libreria,/libreria/,She goes to the bookstore once a week.,Va in libreria una volta alla settimana.,/va in libreria ʊna vɔlta alla setːimana./,A1,Shopping,"A1,Shopping",
boot,stivale,/stivale/,Go and put on your boots.,Andate a mettervi gli stivali.,/andate a mettervɪ ʎɪ stivalɪ./,A1,Shopping,"A1,Shopping",
