English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
bicycle,bicicletta,/bitʃikletːa/,"Besides that, there was quite a heap of bicycles.","Inoltre, c'era un bel mucchio di biciclette.","/inoltre, tʃɛra ʊn bɛl mukːio dɪ bitʃikletːe./",A1,Shopping,"A1,Shopping",
bike,bicicletta,/bitʃikletːa/,Why did you steal the bike?,Perché hai rubato la bicicletta?,/perke aj rʊbato la bitʃikletːa?/,A1,Shopping,"A1,Shopping",
blow,soffio,/soffio/,The wind did blow something.,Il vento ha soffiato qualcosa.,/il vɛnto a soffjato kwalkɔza./,A1,Shopping,"A1,Shopping",
boat,barca,/barka/,Have ye seen a whale-boat adrift?,Avete visto una baleniera alla deriva?,/avete visto ʊna baleniɛra alla deriva?/,A1,Shopping,"A1,Shopping",
bookstore,libreria,/libreria/,She goes to the bookstore once a week.,Va in libreria una volta alla settimana.,/va in libreria ʊna vɔlta alla setːimana./,A1,Shopping,"A1,Shopping",
boot,stivale,/stivale/,Go and put on your boots.,Andate a mettervi gli stivali.,/andate a mettervɪ ʎɪ stivalɪ./,A1,Shopping,"A1,Shopping",
brush,pennello,/pennɛllo/,"It’s been given out to brush, ’ thought Mr.","È stato distribuito a pennello"", pensò Mr.","/e stato distribʊito a pennɛllo"", pensɔ ɛmmeɛrɾe./",A1,Shopping,"A1,Shopping",
buy,acquistare,/akːwistare/,I will buy: having traded.,Comprerò: avendo scambiato.,/kompreɾɔ: avɛndo skambjato./,A1,Shopping,"A1,Shopping",
cafe,caffè,/kaffɛ/,Shall we meet at the cafe?,Ci incontriamo al bar?,/tʃɪ inkontriamo al bar?/,A1,Shopping,"A1,Shopping",
cafe,caffè,/kaffɛ/,Shall we meet at the cafe?,Ci incontriamo al bar?,/tʃɪ inkontriamo al bar?/,A1,Shopping,"A1,Shopping",
camera,macchina fotografica,/makːina fotoɡrafika/,We may suppose that it is a lens in a camera.,Possiamo supporre che si tratti di un obiettivo di una macchina fotografica.,/possjamo sʊpːɔrɾe ke sɪ tratːɪ dɪ ʊn objetːivo dɪ ʊna makːina fotoɡrafika./,A1,Shopping,"A1,Shopping",
car,auto,/aʊto/,Shall we all go in my car?,Andiamo tutti nella mia macchina?,/andjamo tutːɪ nella mia makːina?/,A1,Shopping,"A1,Shopping",
church,chiesa,/kjɛza/,Are you doing the church?,Stai facendo la chiesa?,/staj fatʃɛndo la kjɛza?/,A1,Shopping,"A1,Shopping",
circle,cerchio,/tʃerkio/,It is immensely received in turf-circles.,È molto apprezzata nei circoli di calcio.,/e molto apːretsːata nei tʃirkolɪ dɪ kaltʃo./,A1,Shopping,"A1,Shopping",
classroom,aula,/aʊla/,"To meet the need, this book has been prepared, primarily for the author's classroom.","Per rispondere a questa esigenza, è stato preparato questo libro, principalmente per la classe dell'autore.","/per rispondere a kwesta ezidʒɛntsa, e stato prepaɾato kwesto libro, printʃipalmente per la klasse dellaʊtore./",A1,Shopping,"A1,Shopping",
clock,orologio,/orolodʒo/,It is now three o’clock.,Sono le tre del pomeriggio.,/sono le tre del pomeridʒːo./,A1,Shopping,"A1,Shopping",
cloth,tessuto,/tessuto/,By-and-by he says: “Starchy clothes—very.,"Poi dice: ""Vestiti amidacei - molto.","/pɔi ditʃe: ""vestitɪ amidatʃei molto./",A1,Shopping,"A1,Shopping",
clothes,vestiti,/vestitɪ/,By-and-by he says: “Starchy clothes—very.,"Poi dice: ""Vestiti amidacei - molto.","/pɔi ditʃe: ""vestitɪ amidatʃei molto./",A1,Shopping,"A1,Shopping",
club,club,/klaːb/,Where go you With bats and clubs?,Dove vai con le mazze e i bastoni?,/dove vaj kon le matsːe e i bastonɪ?/,A1,Shopping,"A1,Shopping",
coat,cappotto,/kapːɔtːo/,It is an old coat.,È un vecchio cappotto.,/e ʊn vɛkːio kapːɔtːo./,A1,Shopping,"A1,Shopping",
college,università,/ʊniversita/,He went to Oggsford College in England.,Ha frequentato l'Oggsford College in Inghilterra.,/a frekwentato loɡːsford kɔlledʒ in iŋɡiltɛrɾa./,A1,Shopping,"A1,Shopping",
corner,angolo,/aŋɡolo/,It was an awkward corner.,Era un angolo scomodo.,/ɛra ʊn aŋɡolo skɔmodo./,A1,Shopping,"A1,Shopping",
cost,costo,/kɔsto/,"I will, at any cost.","Lo farò, ad ogni costo.","/lo faɾɔ, ad oɲɲɪ kɔsto./",A1,Shopping,"A1,Shopping",
couch,divano,/divano/,"No fireside couch was there, to invite repose and comfort.","Non c'era il divano del caminetto, per invitare al riposo e al comfort.","/non tʃɛra il divano del kaminetːo, per invitare al ripɔzo e al komfort./",A1,Shopping,"A1,Shopping",
cover,copertura,/kopertura/,"Will you cover, then, sir?","Allora, signore, mi coprirà?","/allora, siɲore, mɪ kopriɾa?/",A1,Shopping,"A1,Shopping",
desk,scrivania,/skrivania/,"Miss March, come to the desk.","Signorina March, venga alla scrivania.","/siɲorina martʃ, veŋɡa alla skrivania./",A1,Shopping,"A1,Shopping",
die,dado,/dado/,Now the king will die!,Ora il re morirà!,/ora il rɛ moriɾa!/,A1,Shopping,"A1,Shopping",
discuss,discutere,/diskutere/,"Brahmin, we can discuss this.","Bramino, possiamo discuterne.","/bramino, possjamo diskuterne./",A1,Shopping,"A1,Shopping",
door,porta,/pɔrta/,I went to the door.,Sono andato alla porta.,/sono andato alla pɔrta./,A1,Shopping,"A1,Shopping",
factory,fabbrica,/fabːrika/,And which is the factory?,E qual è la fabbrica?,/e kwal e la fabːrika?/,A1,Shopping,"A1,Shopping",
football,calcio,/kaltʃo/,Football is a game you play with your mates.,Il calcio è un gioco che si fa con i compagni.,/il kaltʃo e ʊn dʒɔko ke sɪ fa kon i kompaɲɲɪ./,A1,Shopping,"A1,Shopping",
guitar,chitarra,/kitarɾa/,"Finding that what he wanted to do was play guitar, he dropped out.","Scoprendo che quello che voleva fare era suonare la chitarra, abbandonò gli studi.","/skoprɛndo ke kwello ke volɛva fare ɛra sʊonare la kitarɾa, abːandonɔ ʎɪ studɪ./",A1,Shopping,"A1,Shopping",
gym,palestra,/palɛstra/,Tobias was at the gym.,Tobias era in palestra.,/tobias ɛra in palɛstra./,A1,Shopping,"A1,Shopping",
hat,cappello,/kapːɛllo/,"This hat is Nan, our maid.","Questo cappello è di Nan, la nostra cameriera.","/kwesto kapːɛllo e dɪ nan, la nɔstra kameriɛra./",A1,Shopping,"A1,Shopping",
hobby,hobby,/ɔbːɪ/,Has he no particular hobby?,Non ha un hobby particolare?,/non a ʊn ɔbːɪ partikolare?/,A1,Shopping,"A1,Shopping",
hole,buco,/buko/,You should completely get rid of these holes!,Dovreste eliminare completamente questi buchi!,/dovreste eliminare kompletamente kwestɪ bukɪ!/,A1,Shopping,"A1,Shopping",
hospital,ospedale,/ospedale/,Did he die in the hospital?,È morto in ospedale?,/e mɔrto in ospedale?/,A1,Shopping,"A1,Shopping",
hotel,albergo,/albɛrɡo/,They will keep them at the hotel.,Li terranno in albergo.,/lɪ terɾanno in albɛrɡo./,A1,Shopping,"A1,Shopping",
house,casa,/kaza/,"Are those the fever-houses, Darby?","Sono queste le case della febbre, Darby?","/sono kweste le kaze della fɛbːre, darbɪ?/",A1,Shopping,"A1,Shopping",
internet,internet,/internet/,This was the days before the internet and before the excellent editions by Bhikkhu Bodhi.,Questo era il periodo precedente a Internet e alle eccellenti edizioni di Bhikkhu Bodhi.,/kwesto ɛra il periodo pretʃedɛnte a internet e alle etʃːellɛntɪ editsionɪ dɪ bikːʊ bodɪ./,A1,Shopping,"A1,Shopping",
island,isola,/izola/,Make an island of yourself!,Fate di voi stessi un'isola!,/fate dɪ voi stessɪ ʊnizola!/,A1,Shopping,"A1,Shopping",
jeans,jeans,/dʒiːns/,I think I look fat in these jeans.,Penso di sembrare grassa con questi jeans.,/pɛnso dɪ sembrare ɡrassa kon kwestɪ dʒiːns./,A1,Shopping,"A1,Shopping",
jewelry,gioielli,/dʒoiɛllɪ/,Had the deceased any articles of jewelry about her person upon leaving home?,La defunta aveva con sé dei gioielli quando è uscita di casa?,/la defunta aveva kon se deɪ dʒoiɛllɪ kwando e ʊʃita dɪ kaza?/,A1,Shopping,"A1,Shopping",
kitchen,cucina,/kʊtʃina/,Is there anybody in the kitchen?,C'è qualcuno in cucina?,/tʃe kwalkuno in kʊtʃina?/,A1,Shopping,"A1,Shopping",
kite,aquilone,/akwilone/,Why does a kite rise?,Perché un aquilone si alza?,/perke ʊn akwilone sɪ altsa?/,A1,Shopping,"A1,Shopping",
knee,Ginocchio,/dʒinɔkːio/,I went down on my knees.,Mi sono inginocchiato.,/mɪ sono indʒinokːjato./,A1,Shopping,"A1,Shopping",
knife,coltello,/koltɛllo/,"Where is the knife, Hans?","Dov'è il coltello, Hans?","/dovɛ il koltɛllo, ans?/",A1,Shopping,"A1,Shopping",
library,biblioteca,/bibliotɛka/,There was no one in the library.,Non c'era nessuno in biblioteca.,/non tʃɛra nessʊno in bibliotɛka./,A1,Shopping,"A1,Shopping",
market,mercato,/merkato/,"This was market-day, and Mrs.",Era giorno di mercato e Mrs.,/ɛra dʒorno dɪ merkato e ɛmmeɛrɾeɛsse./,A1,Shopping,"A1,Shopping",
money,denaro,/denaro/,But they were without money.,Ma erano senza soldi.,/ma ɛrano sɛntsa sɔldɪ./,A1,Shopping,"A1,Shopping",
museum,museo,/mʊzɛo/,Here” was the British Museum.,"Qui"" si trovava il British Museum.","/kwi"" sɪ trovava il britiʃ mʊzɛʊm./",A1,Shopping,"A1,Shopping",
office,ufficio,/ʊffitʃo/,I replied: “I want an office.,"Ho risposto: ""Voglio un ufficio.","/o risposto: ""voʎo ʊn ʊffitʃo./",A1,Shopping,"A1,Shopping",
or,o,/ɔː/,Is it thoughtful or thoughtless?,È una scelta ponderata o sconsiderata?,/e ʊna ʃelta ponderata o skonsiderata?/,A1,Shopping,"A1,Shopping",
palace,palazzo,/palatsːo/,Is that the royal palace?,È il palazzo reale?,/e il palatsːo reale?/,A1,Shopping,"A1,Shopping",
pants,pantaloni,/pantalonɪ/,Can a Muslim woman wear pants?,Una donna musulmana può indossare i pantaloni?,/ʊna dɔnna mʊzʊlmana pʊɔ indossare i pantalonɪ?/,A1,Shopping,"A1,Shopping",
pay,retribuzione,/retribʊtsione/,He will never pay it!,Non lo pagherà mai!,/non lo paɡeɾa maj!/,A1,Shopping,"A1,Shopping",
photo,foto,/fɔto/,He is taking a photo.,Sta scattando una foto.,/sta skatːando ʊna fɔto./,A1,Shopping,"A1,Shopping",
photograph,fotografia,/fotoɡrafia/,The trees in the photograph are pin oaks.,Gli alberi nella fotografia sono querce da pin.,/ʎɪ alberɪ nella fotoɡrafia sono kwɛrtʃe da pin./,A1,Shopping,"A1,Shopping",
pocket,tasca,/taska/,"See""--producing a pocket-volume--""Akenside--his 'Pleasures of Imagination.","Vedi""-producendo un volume tascabile-""Akenside-i suoi 'Piaceri dell'immaginazione'.","/vedɪ""prodʊtʃɛndo ʊn volume taskabile""akensidei sʊɔi pjatʃɛrɪ dellimmadʒinatsione./",A1,Shopping,"A1,Shopping",
pool,piscina,/piʃina/,He has won the pool.,Ha vinto la piscina.,/a vinto la piʃina./,A1,Shopping,"A1,Shopping",
push,spingere,/spindʒere/,Will you not push her out?,Non la respingerai?,/non la respindʒeraːɪ?/,A1,Shopping,"A1,Shopping",
restaurant,ristorante,/ristorante/,"This is a nice restaurant here, ” said Mr.","Questo è un bel ristorante"", ha detto Mr.","/kwesto ɛ ʊn bɛl ristorante"", a detːo ɛmmeɛrɾe./",A1,Shopping,"A1,Shopping",
ride,cavalcata,/kavalkata/,And then came that disconcerting ride.,E poi arrivò quella sconcertante corsa.,/e pɔi arɾivɔ kwella skontʃertante korsa./,A1,Shopping,"A1,Shopping",
ring,anello,/anɛllo/,This is the King’s ring.,Questo è l'anello del Re.,/kwesto ɛ lanɛllo del rɛ./,A1,Shopping,"A1,Shopping",
road,strada,/strada/,Is it a good road?,È una buona strada?,/e ʊna bʊɔna strada?/,A1,Shopping,"A1,Shopping",
seat,sede,/sɛde/,"Take a seat, will you?","Siediti, per favore.","/sjeditɪ, per favore./",A1,Shopping,"A1,Shopping",
share,quota,/kwɔta/,A’ would have ten shares.,"A"" avrebbe dieci azioni.","/aː"" avrɛbːe djɛtʃɪ atsionɪ./",A1,Shopping,"A1,Shopping",
shelf,scaffale,/skaffale/,You will find an oil-can on a shelf in my cottage.,Troverete una lattina di olio su una mensola del mio cottage.,/troverete ʊna latːina dɪ ɔlio sʊ ʊna mɛnsola del mio kotːadʒe./,A1,Shopping,"A1,Shopping",
ship,nave,/nave/,Then you are on a ship?,Allora siete su una nave?,/allora sjete sʊ ʊna nave?/,A1,Shopping,"A1,Shopping",
shirt,camicia,/kamitʃa/,"Are they to be shirt-makers, or governesses?",Saranno camicierieri o governanti?,/saɾanno kamitʃeriɛrɪ o ɡovernantɪ?/,A1,Shopping,"A1,Shopping",
shoe,scarpa,/skarpa/,It is a lady’s shoe.,È una scarpa da donna.,/e ʊna skarpa da dɔnna./,A1,Shopping,"A1,Shopping",
shop,negozio,/neɡɔtsio/,The shop was close and hot.,Il negozio era vicino e caldo.,/il neɡɔtsio ɛra vitʃino e kaldo./,A1,Shopping,"A1,Shopping",
shopping,shopping,/ʃopːiŋɡ/,Shopping was the topic that now ensued.,L'argomento era lo shopping.,/larɡomento ɛra lo ʃopːiŋɡ./,A1,Shopping,"A1,Shopping",
sofa,Divano,/divano/,The Sangha was offered a sofa.,Al Sangha è stato offerto un divano.,/al saŋɡa e stato offɛrto ʊn divano./,A1,Shopping,"A1,Shopping",
station,stazione,/statsione/,You must meet her at the station.,Dovete incontrarla alla stazione.,/dovete inkontrarla alla statsione./,A1,Shopping,"A1,Shopping",
store,negozio,/neɡɔtsio/,All stores have had their boilers inspected.,Tutti i negozi hanno fatto ispezionare le loro caldaie.,/tutːɪ i neɡɔtsɪ anno fatːo ispetsjonare le lɔro kaldaje./,A1,Shopping,"A1,Shopping",
street,strada,/strada/,It is a by-street—very lonely.,"È una strada secondaria, molto solitaria.","/e ʊna strada sekondaria, molto solitaria./",A1,Shopping,"A1,Shopping",
subway,metropolitana,/metropolitana/,There is already a subway in Rio.,A Rio c'è già una metropolitana.,/a rio tʃe dʒa ʊna metropolitana./,A1,Shopping,"A1,Shopping",
supermarket,supermercato,/sʊpermerkato/,It would seem that the spiritual supermarket is no new thing.,Sembra che il supermercato spirituale non sia una novità.,/sembra ke il sʊpermerkato spiritʊale non sia ʊna novita./,A1,Shopping,"A1,Shopping",
taxi,taxi,/taksɪ/,But I’d be glad if you’d order me the taxi.,Ma mi farebbe piacere se mi ordinasse il taxi.,/ma mɪ farɛbːe pjatʃere se mɪ ordinasse il taksɪ./,A1,Shopping,"A1,Shopping",
temple,tempio,/tempio/,The Temple was destroyed A.,Il Tempio fu distrutto A.,/il tempio fʊ distrutːo aː./,A1,Shopping,"A1,Shopping",
toilet,WC,/dopːjavʊtʃi/,"Here, come in, ’ said Nicholas, when he had completed his toilet.","Vieni, entra"", disse Nicholas, quando ebbe completato la sua toilette.","/vjɛnɪ, entra"", disse nikolas, kwando ɛbːe kompletato la sʊa twaletː./",A1,Shopping,"A1,Shopping",
tooth,dente,/dɛnte/,"Was it a sharp tooth, hey?",Era un dente affilato?,/ɛra ʊn dɛnte affilato?/,A1,Shopping,"A1,Shopping",
towel,asciugamano,/aʃʊɡamano/,"Get behind the door, old chap, and have the jack-towel betwixt you.","Vai dietro la porta, vecchio mio, e tieni lo strofinaccio tra le mani.","/vaj djɛtro la pɔrta, vɛkːio mio, e tjɛnɪ lo strofinatʃːo tra le manɪ./",A1,Shopping,"A1,Shopping",
tower,torre,/torɾe/,"What, shall we toward the Tower?","Che facciamo, andiamo verso la Torre?","/ke fatʃːamo, andjamo vɛrso la torɾe?/",A1,Shopping,"A1,Shopping",
toy,giocattolo,/dʒokatːolo/,Shall we fall foul for toys?,Dovremmo cadere in fallo per i giocattoli?,/dovremmo kadere in fallo per i dʒokatːolɪ?/,A1,Shopping,"A1,Shopping",
train,treno,/trɛno/,That’s how you should train.,È così che ci si dovrebbe allenare.,/e kozi ke tʃɪ sɪ dovrɛbːe allenare./,A1,Shopping,"A1,Shopping",
trousers,pantaloni,/pantalonɪ/,There was a pair of trousers there.,C'era un paio di pantaloni.,/tʃɛra ʊn paio dɪ pantalonɪ./,A1,Shopping,"A1,Shopping",
truck,camion,/kamjon/,"Strawberries and such truck, ” I says.","Fragole e camionette del genere"", dico.","/fraɡole e kamjonetːe del dʒɛnere"", diko./",A1,Shopping,"A1,Shopping",
tube,tubo,/tubo/,At that time the tubes were not covered.,All'epoca i tubi non erano coperti.,/allɛpoka i tubɪ non ɛrano kopɛrtɪ./,A1,Shopping,"A1,Shopping",
university,università,/ʊniversita/,Which university do you want to get into?,A quale università vuoi iscriverti?,/a kwale ʊniversita vʊɔi iskrivertɪ?/,A1,Shopping,"A1,Shopping",
vase,vaso,/vazo/,He went about rapping the shining vases with his knuckles.,Si mise a percuotere i vasi lucenti con le nocche.,/sɪ mize a perkʊɔtere i vazɪ lʊtʃɛntɪ kon le nokːe./,A1,Shopping,"A1,Shopping",
volleyball,pallavolo,/pallavolo/,I know you don't like volleyball.,So che non ti piace la pallavolo.,/sɔ ke non tɪ pjatʃe la pallavolo./,A1,Shopping,"A1,Shopping",
walk,passeggiata,/passedʒːata/,We had a lovely walk.,Abbiamo fatto una bella passeggiata.,/abːjamo fatːo ʊna bɛlla passedʒːata./,A1,Shopping,"A1,Shopping",
wall,muro,/muro/,Did you run into the wall?,Sei andato a sbattere contro il muro?,/sɛi andato a zbatːere kontro il muro?/,A1,Shopping,"A1,Shopping",
wash,lavaggio,/lavadʒːo/,You can’t wash yourself this morning.,Stamattina non puoi lavarti.,/stamatːina non pʊɔi lavartɪ./,A1,Shopping,"A1,Shopping",
wear,usura,/ʊzura/,"I will wear it, sir.","Lo indosserò, signore.","/lo indosseɾɔ, siɲore./",A1,Shopping,"A1,Shopping",
wheel,ruota,/rʊɔta/,Is my new pair of wheels finished?,Il mio nuovo paio di ruote è finito?,/il mio nʊɔvo paio dɪ rʊɔte e finito?/,A1,Shopping,"A1,Shopping",
win,vincere,/vintʃere/,They shouldn’t be allowed to win.,Non dovrebbe essere permesso loro di vincere.,/non dovrɛbːe ɛssere permesso lɔro dɪ vintʃere./,A1,Shopping,"A1,Shopping",
zoo,zoo,/dzɔo/,He took the kids to the zoo.,Ha portato i bambini allo zoo.,/a portato i bambinɪ allo dzɔo./,A1,Shopping,"A1,Shopping",
