English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
prefer,preferiscono,/preferiskono/,Do you prefer reading to cards?,Preferisce la lettura alle carte?,/preferiʃe la letːura alle karte?/,A1,Professional,"A1,Professional",
relax,relax,/rɛlaks/,"He approached the king and said, ‘Relax, sire.","Si avvicinò al re e gli disse: ""Si rilassi, signore.","/sɪ avvitʃinɔ al rɛ e ʎɪ disse: ""sɪ rilassɪ, siɲore./",A1,Professional,"A1,Professional",
save,salvare,/salvare/,I can yet save you!,Posso ancora salvarvi!,/pɔsso ankora salvarvɪ!/,A1,Professional,"A1,Professional",
sell,vendere,/vɛndere/,Have you anything to sell?,Avete qualcosa da vendere?,/avete kwalkɔza da vɛndere?/,A1,Professional,"A1,Professional",
sit,sedersi,/sedersɪ/,"Where will you sit, uncle?","Dove ti siedi, zio?","/dove tɪ sjedɪ, dzio?/",A1,Professional,"A1,Professional",
situation,situazione,/sitʊatsione/,It is a retired situation.,È una situazione di pensionamento.,/e ʊna sitʊatsione dɪ pensjonamento./,A1,Professional,"A1,Professional",
surprise,sorpresa,/sorpreza/,"Why, this IS a surprise!",Questa sì che è una sorpresa!,/kwesta siː ke e ʊna sorpreza!/,A1,Professional,"A1,Professional",
team,squadra,/skwadra/,"The wagons will move swiftly when lightly-laden, and won’t tire our draught teams.",I carri si muoveranno rapidamente con un carico leggero e non affaticheranno le nostre squadre da tiro.,/i karɾɪ sɪ mʊoveranno rapidamente kon ʊn kariko ledʒːɛro e non affatikeranno le nɔstre skwadre da tiro./,A1,Professional,"A1,Professional",
village,villaggio,/villadʒːo/,He’d see an empty village.,Vedrebbe un villaggio vuoto.,/vedrɛbːe ʊn villadʒːo vʊɔto./,A1,Professional,"A1,Professional",
visit,visita,/vizita/,"Well, I will visit her.","Beh, andrò a trovarla.","/bɛ, andrɔ a trovarla./",A1,Professional,"A1,Professional",
wake,scia,/ʃia/,You go wake those maids.,Vai a svegliare le cameriere.,/vaj a zveʎare le kameriɛre./,A1,Professional,"A1,Professional",
was,è stato,/e stato/,"All right, ’ was the reply.","Va bene"", fu la risposta.","/va bɛne"", fʊ la risposta./",A1,Professional,"A1,Professional",
were,erano,/ɛrano/,"You were right, ’ answered Ralph.","Avevi ragione"", rispose Ralph.","/avevɪ radʒoːne"", rispoze ralf./",A1,Professional,"A1,Professional",
who,che,/ke/,Who can help liking it?,Chi può aiutare ad apprezzarlo?,/kɪ pʊɔ ajʊtare ad apːretsːarlo?/,A1,Professional,"A1,Professional",
