English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
champagne,champagne,/ʃampaɲ/,"There’s some champagne in the cellar, ” he said.","C'è dello champagne in cantina"", ha detto.","/tʃe dello ʃampaɲ in kantina"", a detːo./",A2,Food,"A2,Food",
chili,peperoncino,/peperontʃino/,Did you taste the hot chili pepper?,Avete assaggiato il peperoncino?,/avete assadʒːato il peperontʃino?/,A2,Food,"A2,Food",
chip,chip,/kip/,"I’d use the chips myself, but give the bowl away as a gift.","Userei le patatine da sola, ma regalerei la ciotola.","/ʊzerɛi le patatine da sola, ma reɡalerɛi la tʃɔtola./",A2,Food,"A2,Food",
chirp,cinguettio,/tʃiŋɡwetːio/,"Lo, The moon is down, the crickets chirp, the screech owl Calls in the dawn.","Ecco, la luna è tramontata, i grilli friniscono, il gufo stride con l'alba.","/ɛkːo, la luna e tramontata, i ɡrillɪ friniskono, il ɡufo stride kon lalba./",A2,Food,"A2,Food",
coin,moneta,/moneta/,I have never marked the coin inspectingly.,Non ho mai marcato la moneta in modo ispettivo.,/non o maj markato la moneta in mɔdo ispetːivo./,A2,Food,"A2,Food",
concentrate,concentrarsi,/kontʃentrarsɪ/,"When you concentrate on the gratification provided by these things, consciousness is conceived.","Quando ci si concentra sulla gratificazione fornita da queste cose, viene concepita la coscienza.","/kwando tʃɪ sɪ kontʃentra sʊlla ɡratifikatsione fornita da kweste kɔze, vjɛne kontʃepita la koʃɛntsa./",A2,Food,"A2,Food",
confuse,confondere,/konfondere/,"My love, ” said I, “it quite confuses me.","Amore mio"", dissi, ""mi confonde abbastanza.","/amore mio"", dissɪ, ""mɪ konfonde abːastantsa./",A2,Food,"A2,Food",
confused,confuso,/konfuzo/,"I’ve been foolish, confused, and unskillful.","Sono stato sciocco, confuso e poco abile.","/sono stato ʃɔkːo, konfuzo e pɔko abile./",A2,Food,"A2,Food",
consist,consistente,/konsistɛnte/,Of what does meat extract mainly consist?,Di cosa è composto principalmente l'estratto di carne?,/dɪ kɔza e komposto printʃipalmente lestratːo dɪ karne?/,A2,Food,"A2,Food",
cooler,refrigeratore,/refridʒeratore/,"You’re not so hurried now, Rachael, and your hand is cooler.","Ora non sei più così frettolosa, Rachael, e la tua mano è più fresca.","/ora non sɛi pjʊ kozi fretːoloza, ratʃael, e la tʊa mano e pjʊ freska./",A2,Food,"A2,Food",
crisp,croccante,/krokːante/,These crisps are very moreish.,Queste patatine sono molto gustose.,/kweste patatine sono molto ɡʊstoze./,A2,Food,"A2,Food",
cross,croce,/krotʃe/,How shall we cross the river?,Come possiamo attraversare il fiume?,/kome possjamo atːraversare il fjume?/,A2,Food,"A2,Food",
curry,curry,/kurɾɪ/,They had prepared mango curry.,Avevano preparato il curry di mango.,/avevano prepaɾato il kurɾɪ dɪ maŋɡo./,A2,Food,"A2,Food",
dessert,dessert,/dɛsser/,Then came the dessert and some more toasts.,Poi sono arrivati il dessert e altri brindisi.,/pɔi sono arɾivatɪ il dɛsser e altrɪ brindizɪ./,A2,Food,"A2,Food",
destroy,distruggere,/distrudʒːere/,And how does a mendicant destroy?,E come distrugge un mendicante?,/e kome distrudʒːe ʊn mendikante?/,A2,Food,"A2,Food",
develop,sviluppare,/zvilʊpːare/,You should develop it with rapture.,Dovreste svilupparlo con estasi.,/dovreste zvilʊpːarlo kon ɛstazɪ./,A2,Food,"A2,Food",
developed,sviluppato,/zvilʊpːato/,A developed mind is workable.,Una mente sviluppata è praticabile.,/ʊna mente zvilʊpːata e pratikabile./,A2,Food,"A2,Food",
direct,diretto,/dirɛtːo/,"He was direct, blunt even.","Era diretto, addirittura schietto.","/ɛra dirɛtːo, adːiritːura skjetːo./",A2,Food,"A2,Food",
discover,scoprire,/skoprire/,Did you discover this passage by chance?,Ha scoperto questo passaggio per caso?,/a skopɛrto kwesto passadʒːo per kazo?/,A2,Food,"A2,Food",
done,fatto,/fatːo/,Then he has done nothing.,Allora non ha fatto nulla.,/allora non a fatːo nulla./,A2,Food,"A2,Food",
dressed,vestito,/vestito/,The passengers were all dressed so oddly too!,Anche i passeggeri erano tutti vestiti in modo strano!,/anke i passedʒːɛrɪ ɛrano tutːɪ vestitɪ in mɔdo strano!/,A2,Food,"A2,Food",
driving,guida,/ɡwida/,What is this you are driving us into?,In cosa ci state portando?,/in kɔza tʃɪ state portando?/,A2,Food,"A2,Food",
drug,farmaco,/farmako/,"This drug is wanted bitter bad, sir, whatever for.","Questa droga è ricercata amaramente, signore, per qualsiasi motivo.","/kwesta drɔɡa e ritʃerkata amaɾamente, siɲore, per kwalsiazɪ motivo./",A2,Food,"A2,Food",
duck,anatra,/anatra/,He was particularly fond of ducks.,Era particolarmente appassionato di anatre.,/ɛra partikolarmente apːassjonato dɪ anatre./,A2,Food,"A2,Food",
employ,impieghi,/impjeɡɪ/,Would you employ such a man?,Assumereste un uomo del genere?,/assʊmerɛste ʊn wɔmo del dʒɛnere?/,A2,Food,"A2,Food",
enter,entrare,/entrare/,A sentient being enters transmigration.,Un essere senziente entra in trasmigrazione.,/ʊn ɛssere sentsiɛnte entra in trazmiɡratsione./,A2,Food,"A2,Food",
establish,stabilire,/stabilire/,They can’t establish their belief on unreliable grounds.,Non possono fondare la loro convinzione su basi inaffidabili.,/non pɔssono fondare la lɔro konvintsione sʊ bazɪ inaffidabilɪ./,A2,Food,"A2,Food",
fancy,fantasia,/fantazia/,You are never to fancy.,Non siete mai troppo fantasiosi.,/non sjete maj trɔpːo fantaziozɪ./,A2,Food,"A2,Food",
farming,agricoltura,/aɡrikoltura/,"The economy was largely rural, with farming playing a prominent role.","L'economia era in gran parte rurale, con l'agricoltura che svolgeva un ruolo di primo piano.","/lekonomia ɛra in ɡran parte rʊrale, kon laɡrikoltura ke zvoldʒɛva ʊn rʊɔlo dɪ primo pjano./",A2,Food,"A2,Food",
fashion,moda,/mɔda/,"Yes, the fashion is the fashion.","Sì, la moda è la moda.","/siː, la mɔda e la mɔda./",A2,Food,"A2,Food",
fast,veloce,/velotʃe/,"It is coming fast, Jo.","Sta arrivando velocemente, Jo.","/sta arɾivando velotʃemente, dʒo./",A2,Food,"A2,Food",
fix,fissare,/fissare/,That was my fix exactly.,Questa era esattamente la mia soluzione.,/kwesta ɛra ezatːamente la mia solʊtsione./,A2,Food,"A2,Food",
float,galleggiante,/ɡalledʒːante/,When bailed out it will float lightly.,"Una volta salpato, galleggerà leggermente.","/ʊna vɔlta salpato, ɡalledʒːeɾa ledʒːermente./",A2,Food,"A2,Food",
flour,farina,/farina/,How do flours differ in granulation?,Come si differenziano le farine nella granulazione?,/kome sɪ differentsjano le farine nella ɡranʊlatsione?/,A2,Food,"A2,Food",
garlic,aglio,/aʎo/,Now she will lose her garlic.,Ora perderà il suo aglio.,/ora perdeɾa il sʊo aʎo./,A2,Food,"A2,Food",
given,dato,/dato/,I shall be given up.,Sarò abbandonato.,/saɾɔ abːandonato./,A2,Food,"A2,Food",
hit,colpito,/kolpito/,Have I hit her now?,L'ho colpita adesso?,/lo kolpita adɛsso?/,A2,Food,"A2,Food",
impress,impressionare,/impressjonare/,"Ajax was here the voluntary, and you as under an impress.","Aiace è stato qui il volontario, e voi come sotto un'impronta.","/aiatʃe e stato kwi il volontario, e voi kome sotːo ʊnimpronta./",A2,Food,"A2,Food",
invent,inventare,/inventare/,I could well wish courtesy would invent some other custom of entertainment.,Potrei desiderare che la cortesia inventasse qualche altra usanza di intrattenimento.,/potrɛi deziderare ke la kortezia inventasse kwalke altra ʊzantsa dɪ intratːenimento./,A2,Food,"A2,Food",
jam,marmellata,/marmellata/,"(What is it, Minnie dear—jam?","(Cosa c'è, Minnie dear-jam?","/(kɔza tʃɛː, minnje deardʒam?/",A2,Food,"A2,Food",
jelly,gelatina,/dʒelatina/,Pectose Substances are jelly-like bodies found in fruits and vegetables.,Le sostanze pectose sono corpi gelatinosi presenti nella frutta e nella verdura.,/le sostantse pektoze sono kɔrpɪ dʒelatinɔzɪ prezɛntɪ nella frutːa e nella verdura./,A2,Food,"A2,Food",
knowledge,conoscenza,/konoʃɛntsa/,This is the ultimate knowledge.,Questa è la conoscenza definitiva.,/kwesta ɛ la konoʃɛntsa definitiva./,A2,Food,"A2,Food",
landscape,paesaggio,/paezadʒːo/,The landscape was misty and vague.,Il paesaggio era nebbioso e vago.,/il paezadʒːo ɛra nebːjozo e vaɡo./,A2,Food,"A2,Food",
lemon,limone,/limone/,What is the characteristic acid of lemons?,Qual è l'acido caratteristico dei limoni?,/kwal e latʃido kaɾatːeristiko deɪ limonɪ?/,A2,Food,"A2,Food",
lemonade,limonata,/limonata/,"Then do the swains appear with tea, with lemonade, with sandwiches, with homage.","Poi compaiono gli swain con il tè, con la limonata, con i panini, con gli omaggi.","/pɔi kompaiono ʎɪ swaɪn kon il tɛ, kon la limonata, kon i paninɪ, kon ʎɪ omadʒːɪ./",A2,Food,"A2,Food",
level,livello,/livɛllo/,They must find their level.,Devono trovare il loro livello.,/devono trovare il lɔro livɛllo./,A2,Food,"A2,Food",
lock,serratura,/serɾatura/,Let the door be lock’d: Treachery!,Che la porta sia chiusa a chiave: Tradimento!,/ke la pɔrta sia kjuza a kjave: tradimento!/,A2,Food,"A2,Food",
melon,melone,/melone/,This type of melon is called cantaloupe.,Questo tipo di melone si chiama cantalupo.,/kwesto tipo dɪ melone sɪ kjama kantalupo./,A2,Food,"A2,Food",
mine,miniera,/miniɛra/,You might say where’s mine!,Potreste dire dov'è il mio!,/potrɛste dire dovɛ il mio!/,A2,Food,"A2,Food",
mix,miscela,/miʃɛla/,"Trust me, one had better mix in, and do like others.","Credetemi, è meglio mescolarsi e fare come gli altri.","/kredetemɪ, e mɛʎo meskolarsɪ e fare kome ʎɪ altrɪ./",A2,Food,"A2,Food",
mushroom,fungo,/fuŋɡo/,"Pappaṭaka, according to DN 27, is a kind of mushroom.","La pappaṭaka, secondo DN 27, è una specie di fungo.","/la pi a pi pi a letːeːraunoeːsɛjd̪iː a kapːa a, sekondo d̪iːɛnne ventisɛtːe, e ʊna spɛtʃe dɪ fuŋɡo./",A2,Food,"A2,Food",
net,rete,/rete/,The nets were hauled in.,Le reti sono state tirate su.,/le retɪ sono state tirate su./,A2,Food,"A2,Food",
oak,quercia,/kwɛrtʃa/,"The door was thick, solid oak slabs.","La porta era spessa, con lastre di rovere massiccio.","/la pɔrta ɛra spessa, kon lastre dɪ rɔvere massitʃːo./",A2,Food,"A2,Food",
oil,olio,/ɔlio/,What are the essential oils?,Quali sono gli oli essenziali?,/kwalɪ sono ʎɪ ɔlɪ essentsjalɪ?/,A2,Food,"A2,Food",
olive,oliva,/oliva/,What physiological property does olive oil have?,Quali proprietà fisiologiche ha l'olio d'oliva?,/kwalɪ proprieta fiziolodʒike a lɔlio doliva?/,A2,Food,"A2,Food",
omelet,frittata,/fritːata/,I can not even cook an omelet.,Non so nemmeno cucinare una frittata.,/non sɔ nemmeno kʊtʃinare ʊna fritːata./,A2,Food,"A2,Food",
organise,organizzare,/orɡanidzːare/,We are planning to organise a party for M.,Stiamo pensando di organizzare una festa per M.,/stjamo pensando dɪ orɡanidzːare ʊna fɛsta per ɛmme./,A2,Food,"A2,Food",
organize,organizzare,/orɡanidzːare/,It is used to organize collections that contain many vaggas .,Viene utilizzato per organizzare collezioni che contengono molti vaga.,/vjɛne ʊtilidzːato per orɡanidzːare kolletsionɪ ke konteŋɡono moltɪ vaɡa./,A2,Food,"A2,Food",
organized,organizzato,/orɡanidzːato/,And how is a female well-organized at work?,E come fa una donna a essere ben organizzata sul lavoro?,/e kome fa ʊna dɔnna a ɛssere bɛn orɡanidzːata sʊl lavɔro?/,A2,Food,"A2,Food",
pasta,pasta,/pasta/,Do you like orzo pasta?,Vi piace la pasta orzo?,/vɪ pjatʃe la pasta ɔɾdzo?/,A2,Food,"A2,Food",
pea,pisello,/pizɛllo/,"Cow peas and bacon, ” was the answer.","Piselli e pancetta"", fu la risposta.","/pizɛllɪ e pantʃetːa"", fʊ la risposta./",A2,Food,"A2,Food",
pear,pera,/pɛra/,"Good-morning, do you use Pears’ soap?","Buongiorno, usate il sapone di Pears?","/bʊondʒɔrno, ʊzate il sapone dɪ pears?/",A2,Food,"A2,Food",
perform,eseguire,/ezeɡwire/,I will perform the fire sacrifice!,Eseguirò il sacrificio del fuoco!,/ezeɡwiɾɔ il sakrifitʃo del fʊɔko!/,A2,Food,"A2,Food",
plate,piastra,/pjastra/,With 36 full-page plates by well-known artists.,Con 36 tavole a piena pagina di noti artisti.,/kon treːntasɛj tavole a pjɛna padʒina dɪ nɔtɪ artistɪ./,A2,Food,"A2,Food",
pretend,fingere,/findʒere/,What good could they pretend?,Che cosa possono fingere di fare di buono?,/ke kɔza pɔssono findʒere dɪ fare dɪ bʊɔno?/,A2,Food,"A2,Food",
produce,produrre,/produrɾe/,Shall I produce the men?,Devo produrre gli uomini?,/dɛvo produrɾe ʎɪ wɔminɪ?/,A2,Food,"A2,Food",
protect,proteggere,/protedʒːere/,They shall not protect ye--boy!,Non vi proteggeranno... ragazzo!,/non vɪ protedʒːeranno... raɡatsːo!/,A2,Food,"A2,Food",
provide,fornire,/fornire/,Provide somebody to take care of you.,Prevedere qualcuno che si prenda cura di voi.,/prevedɛre kwalkuno ke sɪ prɛnda kura dɪ voi./,A2,Food,"A2,Food",
publish,pubblicare,/pʊbːlikare/,"Dear Editor: This letter is not meant for publication, although you can publish it if you wish.","Caro direttore: Questa lettera non è destinata alla pubblicazione, anche se potete pubblicarla se lo desiderate.","/karo diretːore: kwesta lɛtːera non e destinata alla pʊbːlikatsione, anke se potete pʊbːlikarla se lo deziderate./",A2,Food,"A2,Food",
raise,aumento,/aʊmento/,Do you mean to raise a sedition?,Intendete sollevare una sedizione?,/intendete sollevare ʊna seditsione?/,A2,Food,"A2,Food",
range,gamma,/ɡamma/,And how is a mendicant skilled in ranges?,E come può un mendicante essere esperto di gamme?,/e kome pʊɔ ʊn mendikante ɛssere espɛrto dɪ ɡamme?/,A2,Food,"A2,Food",
realize,realizzare,/realidzːare/,And what is the principle to realize?,E qual è il principio da realizzare?,/e kwal e il printʃipio da realidzːare?/,A2,Food,"A2,Food",
realize,realizzare,/realidzːare/,And what is the principle to realize?,E qual è il principio da realizzare?,/e kwal e il printʃipio da realidzːare?/,A2,Food,"A2,Food",
receive,ricevere,/ritʃevere/,Did he receive you well?,Vi ha accolto bene?,/vɪ a akːɔlto bɛne?/,A2,Food,"A2,Food",
recycle,riciclare,/ritʃiklare/,"The 3 Rs are Reduce, Reuse and Recycle.","Le 3 R sono Ridurre, Riutilizzare e Riciclare.","/le tre ɛrɾe sono ridurɾe, riʊtilidzːare e ritʃiklare./",A2,Food,"A2,Food",
remain,rimanere,/rimanɛre/,"Do you remain here, Sir?","Rimane qui, signore?","/rimane kwi, siɲore?/",A2,Food,"A2,Food",
represent,rappresentare,/rapːrezentare/,"They don’t represent themselves as being among superiors, inferiors, or equals.","Non si rappresentano come superiori, inferiori o uguali.","/non sɪ rapːrezɛntano kome sʊperiorɪ, inferiorɪ o ʊɡwalɪ./",A2,Food,"A2,Food",
roast,arrosto,/arɾɔsto/,Has it roasted: she gets someone else to roast it.,Lo fa arrostire: lo fa arrostire da qualcun altro.,/lo fa arɾostire: lo fa arɾostire da kwalkʊn altro./,A2,Food,"A2,Food",
rob,robot,/robɔt/,The robes were badly sewn.,Le vesti erano cucite male.,/le vɛstɪ ɛrano kʊtʃite male./,A2,Food,"A2,Food",
running,corsa,/korsa/,How long has it been running?,Da quanto tempo è in funzione?,/da kwanto tɛmpo e in fʊntsione?/,A2,Food,"A2,Food",
sake,sake,/sake/,For Heaven’s sake be careful!,"Per l'amor del cielo, fate attenzione!","/per lamor del tʃɛlo, fate atːentsione!/",A2,Food,"A2,Food",
sample,campione,/kampjone/,Sample should be carefully taken and well mixed.,Il campione deve essere prelevato con cura e ben mescolato.,/il kampjone dɛve ɛssere prelevato kon kura e bɛn meskolato./,A2,Food,"A2,Food",
satisfy,soddisfare,/sodːisfare/,And I must satisfy them.,E io devo soddisfarli.,/e io dɛvo sodːisfarlɪ./,A2,Food,"A2,Food",
sauce,salsa,/salsa/,"Come, there is sauce for it.","Vieni, c'è una salsa per questo.","/vjɛnɪ, tʃe ʊna salsa per kwesto./",A2,Food,"A2,Food",
sausage,salsiccia,/salsitʃːa/,"That sausage you toasted was his, and he was in all respects a first-rater.","La salsiccia che avete abbrustolito era sua, ed era in tutto e per tutto un fuoriclasse.","/la salsitʃːa ke avete abːrʊstolito ɛra sua, ed ɛra in tutːo e per tutːo ʊn fʊoriklasse./",A2,Food,"A2,Food",
seafood,frutti di mare,/frutːɪ dɪ mare/,I want to buy seafood.,Voglio comprare i frutti di mare.,/voʎo komprare i frutːɪ dɪ mare./,A2,Food,"A2,Food",
seem,sembrare,/sembrare/,It does seem a wonder.,Sembra una meraviglia.,/sembra ʊna meraviʎa./,A2,Food,"A2,Food",
serve,servire,/servire/,Shadow will serve for summer.,Shadow servirà per l'estate.,/ʃadow serviɾa per lestate./,A2,Food,"A2,Food",
sew,cucire,/kʊtʃire/,"Why, I did sew it with white!","Perché, l'ho cucito con il bianco!","/perke, lo kʊtʃito kon il bjanko!/",A2,Food,"A2,Food",
shape,forma,/forma/,The general shape of the prison was square.,La forma generale della prigione era quadrata.,/la forma dʒenerale della pridʒone ɛra kwadrata./,A2,Food,"A2,Food",
shell,conchiglia,/konkiʎa/,It was a mere shell.,Era un semplice guscio.,/ɛra ʊn semplitʃe ɡuʃo./,A2,Food,"A2,Food",
shoot,sparare,/spaɾare/,"Rather, it has only reached the shoots.","Piuttosto, ha raggiunto solo i germogli.","/pjʊtːɔsto, a radʒːunto solo i dʒermoʎɪ./",A2,Food,"A2,Food",
short,breve,/brɛve/,There was a short pause.,C'è stata una breve pausa.,/tʃe stata ʊna brɛve paʊza./,A2,Food,"A2,Food",
skin,pelle,/pɛlle/,The chapter on skins is finished.,Il capitolo sulle pelli è terminato.,/il kapitolo sʊlle pɛllɪ e terminato./,A2,Food,"A2,Food",
slice,fetta,/fetːa/,"On the present occasion, though I was hungry, I dared not eat my slice.","In questa occasione, sebbene avessi fame, non osai mangiare la mia fetta.","/in kwesta okːazione, sebːɛne avessɪ fame, non ozaj mandʒare la mia fetːa./",A2,Food,"A2,Food",
snack,spuntino,/spʊntino/,"Where did you tell the boy to meet us with the snack, Martin?","Dove hai detto al ragazzo di incontrarci con la merenda, Martin?","/dove aj detːo al raɡatsːo dɪ inkontrartʃɪ kon la merɛnda, martin?/",A2,Food,"A2,Food",
soda,soda,/sɔda/,What does the soda do?,Cosa fa la soda?,/kɔza fa la sɔda?/,A2,Food,"A2,Food",
spaghetti,spaghetti,/spaɡetːɪ/,All the connotations of this term suggested by innumerable spaghetti Westerns are intentional.,Tutte le connotazioni di questo termine suggerite da innumerevoli spaghetti western sono intenzionali.,/tutːe le konnotatsionɪ dɪ kwesto tɛrmine sʊdʒːerite da innʊmerevolɪ spaɡetːɪ wɛstern sono intentsionalɪ./,A2,Food,"A2,Food",
split,spaccatura,/spakːatura/,"Come, I’ll split the difference, gen’lmen, ” urged Gamfield.","Venite, dividerò la differenza, signori"", esortò Gamfield.","/venite, divideɾɔ la differɛntsa, siɲorɪ"", ezortɔ ɡamfjeld./",A2,Food,"A2,Food",
steak,bistecca,/bistekːa/,"You’ve been beating this steak too much, cook; it’s too tender.","Ha battuto troppo questa bistecca, cuoco; è troppo tenera.","/a batːuto trɔpːo kwesta bistekːa, kʊɔko; e trɔpːo tɛnera./",A2,Food,"A2,Food",
stomach,stomaco,/stɔmako/,The stomach is the primary cause.,Lo stomaco è la causa principale.,/lo stɔmako e la kaʊza printʃipale./,A2,Food,"A2,Food",
strike,sciopero,/ʃɔpero/,"Shall I strike it, sir?","Devo colpirlo, signore?","/dɛvo kolpirlo, siɲore?/",A2,Food,"A2,Food",
supper,cena,/tʃena/,It was a glorious supper.,È stata una cena gloriosa.,/e stata ʊna tʃena ɡloriɔza./,A2,Food,"A2,Food",
swallow,inghiottire,/iŋɡjotːire/,"After regurgitating, he would swallow.","Dopo aver rigurgitato, deglutiva.","/dopo avɛr riɡʊrdʒitato, deɡlʊtiva./",A2,Food,"A2,Food",
table,tavolo,/tavolo/,It were the Poison-bottle on table.,Era la bottiglia di veleno sul tavolo.,/ɛra la botːiʎa dɪ veleno sʊl tavolo./,A2,Food,"A2,Food",
tap,rubinetto,/rʊbinetːo/,"He shall draw, he shall tap.","Disegnerà, toccherà, toccherà.","/dizeɲeɾa, tokːeɾa, tokːeɾa./",A2,Food,"A2,Food",
task,compito,/kompito/,The terrible task was over.,Il terribile compito era terminato.,/il terɾibile kompito ɛra terminato./,A2,Food,"A2,Food",
taste,gusto,/ɡusto/,He has ridged taste buds.,Ha papille gustative rigide.,/a papille ɡʊstative ridʒide./,A2,Food,"A2,Food",
thinking,pensiero,/pensiɛro/,"I have been thinking, Mr.","Stavo pensando, signor","/stavo pensando, siɲor/",A2,Food,"A2,Food",
thought,pensiero,/pensiɛro/,I thought it was “adore.,"Pensavo fosse ""adore"".","/pensavo fosse ""adore""./",A2,Food,"A2,Food",
till,fino a,/fino aː/,You must wait till then.,Dovete aspettare fino ad allora.,/dovete aspetːare fino ad allora./,A2,Food,"A2,Food",
used,usato,/ʊzato/,The bark is used medicinally.,La corteccia è utilizzata a scopo medicinale.,/la kortetʃːa e ʊtilidzːata a skɔpo meditʃinale./,A2,Food,"A2,Food",
used,usato,/ʊzato/,The bark is used medicinally.,La corteccia è utilizzata a scopo medicinale.,/la kortetʃːa e ʊtilidzːata a skɔpo meditʃinale./,A2,Food,"A2,Food",
web,web,/wɛb/,These webs are common on trees in July and August.,Queste ragnatele sono comuni sugli alberi in luglio e agosto.,/kweste raɲatele sono komunɪ sʊʎɪ alberɪ in luʎo e aɡosto./,A2,Food,"A2,Food",
web,web,/wɛb/,These webs are common on trees in July and August.,Queste ragnatele sono comuni sugli alberi in luglio e agosto.,/kweste raɲatele sono komunɪ sʊʎɪ alberɪ in luʎo e aɡosto./,A2,Food,"A2,Food",
working,lavorare,/lavorare/,"The anchors are working, sir.","Le ancore funzionano, signore.","/le ankore fʊntsjɔnano, siɲore./",A2,Food,"A2,Food",
