"English","Italian","IPA","Tags","Notes"
"Borage","Borragine","borˈraːdʒine","spice","Herb with a cucumber-like flavor."
"Burnet","Pimpinella","pimpiˈnɛlla","spice","Herb with a slightly bitter, nutty flavor."
"Hyssop","Issopo","isˈsɔpo","spice","Herb with a strong, minty flavor."
"Rue","Ruta","ˈruta","spice","Herb with a strong, bitter flavor."
"Szechuan lovage","Levistico di Sichuan","leˈvistiko di siˈʃwan","spice","Herb with a flavor similar to lovage, but stronger."
"Perilla","Perilla","peˈrilla","spice","Herb with a minty, anise-like flavor."
"Epazote","Epazote","epaˈtsote","spice","Herb with a strong, medicinal flavor."
"Mexican oregano","Origano messicano","oˈriɡano mesˈsiːkano","spice","Herb with a flavor similar to oregano, but stronger."
"Holy basil","Basilico sacro","baˈziːliko ˈsaːkro","spice","Basil with a spicy, clove-like flavor."
"Lemon balm","Melissa","meˈlissa","spice","Herb with a lemon-scented flavor."
"Lemon verbena","Erba cedrina","ˈɛrba tʃeˈdrina","spice","Herb with a strong lemon flavor."
"Vietnamese coriander","Coriandolo vietnamita","koˈrjandolo vjetnaˈmita","spice","Herb with a citrusy flavor, used in Vietnamese cuisine."
"Cress","Crescione","kreʃˈʃone","spice","Leafy green with a peppery flavor."
"Garden cress","Crescione d'orto","kreʃˈʃone ˈdɔrto","spice","Leafy green with a milder flavor, used in salads."
"Peppermint","Menta piperita","ˈmɛnta pipeˈrita","spice","Mint with a strong, sweet flavor."
"Spearmint","Menta verde","ˈmɛnta ˈverde","spice","Mint with a milder, sweeter flavor."
"Wild garlic","Aglio orsino","ˈaʎʎo orˈsiːno","spice","Garlic with a milder, more delicate flavor."
"Brown Sauce","Salsa bruna","ˈsal.sa ˈbruː.na","sauce","A rich and savory sauce often used in British cuisine."
"Cranberry Sauce","Salsa di mirtilli rossi","ˈsal.sa di mirˈtil.li ˈros.si","sauce","A sweet and tangy sauce made from cranberries."
"Tzatziki","Tzatziki","tsatˈtsiːki","sauce","A creamy yogurt-based sauce with cucumber and garlic."
"Tahini Sauce","Salsa tahina","ˈsal.sa taˈi.na","sauce","A creamy sauce made from sesame seeds."
"Romesco Sauce","Salsa romesco","ˈsal.sa roˈmes.ko","sauce","A Spanish sauce made with nuts, peppers, and tomatoes."
"Curry Sauce","Salsa al curry","ˈsal.sa al ˈkur.ri","sauce","A flavorful sauce made with curry spices."
"Peppercorn Sauce","Salsa al pepe verde","ˈsal.sa al ˈpe.pe ˈver.de","sauce","A creamy sauce with green peppercorns."
"Gremolata","Gremolata","ɡremoˈlaːta","sauce","A zesty Italian condiment made with lemon zest, garlic, and parsley."
"Mole Sauce","Salsa mole","ˈsal.sa ˈmo.le","sauce","A rich Mexican sauce made with chili peppers and chocolate."
"Ponzu Sauce","Salsa ponzu","ˈsal.sa ˈpon.dzu","sauce","A tangy Japanese sauce made with citrus and soy."
"Chili Sauce","Salsa chili","ˈsal.sa ˈtʃi.li","sauce","A spicy sauce made with chili peppers."
"Garlic Sauce","Salsa all'aglio","ˈsal.sa alˈlaʎ.ʎo","sauce","A creamy sauce flavored with garlic."
"Mornay Sauce","Salsa Mornay","ˈsal.sa mɔrˈnɛ","sauce","A cheesy variation of béchamel sauce."
"Blue Cheese Dressing","Salsa al formaggio blu","ˈsal.sa al forˈmad.dʒo blu","sauce","A creamy dressing with blue cheese."
"French Dressing","Salsa francese","ˈsal.sa franˈtʃeːze","sauce","A tangy and sweet salad dressing."
"Salsa Rosa","Salsa rosa","ˈsal.sa ˈrɔːza","sauce","A pink sauce made with mayonnaise and ketchup."
"Cocktail Sauce","Salsa cocktail","ˈsal.sa kɔkˈtɛl","sauce","A tangy sauce often served with seafood."
"Satay Sauce","Salsa satay","ˈsal.sa saˈtai","sauce","A peanut-based sauce often used in Southeast Asian cuisine."
"Plum Sauce","Salsa di prugne","ˈsal.sa di ˈpruɲ.ɲe","sauce","A sweet and tangy sauce made from plums."
"Yogurt Sauce","Salsa allo yogurt","ˈsal.sa alˈlo ˈjo.ɡurt","sauce","A creamy sauce made with yogurt."
"Harissa","Harissa","aˈris.sa","sauce","A spicy North African chili paste."
"Sriracha","Sriracha","sriˈra.tʃa","sauce","A hot sauce made from chili peppers, vinegar, and garlic."
"Fish Sauce","Salsa di pesce","ˈsal.sa di ˈpeʃ.ʃe","sauce","A salty, fermented sauce made from fish."
"Chutney","Chutney","ˈtʃat.nej","sauce","A sweet and tangy condiment made with fruits and spices."
"Pico de Gallo","Pico de gallo","ˈpi.ko de ˈɡal.lo","sauce","A fresh Mexican salsa made with tomatoes, onions, and cilantro."
"Walnut Sauce","Salsa di noci","ˈsal.sa di ˈno.tʃi","sauce","A creamy sauce made with walnuts."
"Mushroom Sauce","Salsa di funghi","ˈsal.sa di ˈfuŋ.ɡi","sauce","A savory sauce made with mushrooms."
"Onion Sauce","Salsa di cipolle","ˈsal.sa di tʃiˈpol.le","sauce","A sweet and savory sauce made with onions."
"Black Pepper Sauce","Salsa di pepe nero","ˈsal.sa di ˈpe.pe ˈne.ro","sauce","A spicy sauce made with black pepper."
"Anchovy Sauce","Salsa di acciughe","ˈsal.sa di atˈtʃu.ɡe","sauce","A salty sauce made with anchovies."
"Gorgonzola Sauce","Salsa di gorgonzola","ˈsal.sa di ɡor.ɡonˈdzo.la","sauce","A creamy sauce made with Gorgonzola cheese."
"Lemon Sauce","Salsa al limone","ˈsal.sa al liˈmo.ne","sauce","A tangy sauce made with lemon juice."
"Red Wine Sauce","Salsa al vino rosso","ˈsal.sa al ˈvi.no ˈros.so","sauce","A rich sauce made with red wine."
"Butter and Sage Sauce","Salsa al burro e salvia","ˈsal.sa al ˈbur.ro e ˈsal.vja","sauce","A simple sauce made with butter and sage."
"Soffritto Sauce","Salsa di soffritto","ˈsal.sa di sofˈfrit.to","sauce","A base sauce made with sautéed onions, carrots, and celery."
"Artichoke Sauce","Salsa di carciofi","ˈsal.sa di karˈtʃɔ.fi","sauce","A creamy sauce made with artichokes."
"Eggplant Sauce","Salsa di melanzane","ˈsal.sa di me.lanˈtsa.ne","sauce","A savory sauce made with eggplants."
"Bell Pepper Sauce","Salsa di peperoni","ˈsal.sa di pepeˈroːni","sauce","A sweet and tangy sauce made with bell peppers."
"Cherry Tomato Sauce","Salsa di pomodorini","ˈsal.sa di pomo.doˈriːni","sauce","A fresh sauce made with cherry tomatoes."
