English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
evacuate,evacuare,/evakʊare/,"Sir, if passion is to invade, surely science must evacuate.","Signore, se la passione deve invadere, sicuramente la scienza deve evacuare.","/siɲore, se la passjone dɛve invadere, sikʊramente la ʃɛntsa dɛve evakʊare./",B2,Health,"B2,Health",
exhaustion,esaurimento,/ezaʊrimento/,"There has been suction, compression (including ignition), combustion, and exhaustion.","C'è stata aspirazione, compressione (compresa l'accensione), combustione ed esaurimento.","/tʃe stata aspiratsione, kompressjone (kompreza latʃːensjone), kombʊstjone ed ezaʊrimento./",B2,Health,"B2,Health",
eyebrow,sopracciglio,/sopratʃːiʎo/,"I don’t know, ” says Krook, shaking his head and lifting his eyebrows.","Non lo so"", dice Krook, scuotendo la testa e sollevando le sopracciglia.","/non lo sɔ"", ditʃe krɔok, skʊotɛndo la tɛsta e sollevando le sopratʃːiʎa./",B2,Health,"B2,Health",
eyelash,ciglia,/tʃiʎa/,He has eyelashes like a cow’s.,Ha le ciglia come quelle di una mucca.,/a le tʃiʎa kome kwelle dɪ ʊna mukːa./,B2,Health,"B2,Health",
eyelid,palpebra,/palpebra/,"Don’t fret your eyelids on that score, ” said the young gentleman.","Non si preoccupi delle sue palpebre a questo proposito"", disse il giovane gentiluomo.","/non sɪ preokːʊpɪ delle sʊe palpebre a kwesto propɔzito"", disse il dʒovane dʒentilʊɔmo./",B2,Health,"B2,Health",
fame,fama,/fama/,Enough is given to fame.,La fama è sufficiente.,/la fama e sʊffitʃɛnte./,B2,Health,"B2,Health",
fascination,fascino,/faʃino/,The public- house had a fascination for him which he could not resist.,La casa pubblica esercitava su di lui un fascino a cui non poteva resistere.,/la kaza pubːlika ezertʃitava sʊ dɪ lʊi ʊn faʃino a kuj non potɛva rezistere./,B2,Health,"B2,Health",
fingernail,unghia,/uŋɡia/,The little bit of dirt under your fingernail is tiny.,Il pezzetto di sporco sotto l'unghia è minuscolo.,/il petsːetːo dɪ spɔrko sotːo luŋɡia e minuskolo./,B2,Health,"B2,Health",
flaw,difetto,/difɛtːo/,"In this mere withstanding, Vāsava, I see a flaw.","Nonostante questo, Vāsava, vedo un difetto.","/nonostante kwesto, vazava, vedo ʊn difɛtːo./",B2,Health,"B2,Health",
flesh,carne,/karne/,You have eaten human flesh.,Avete mangiato carne umana.,/avete mandʒato karne ʊmana./,B2,Health,"B2,Health",
flutter,svolazzare,/zvolatsːare/,"There’s a great deal of news, ’ said Newman, in a flutter of exultation.","Ci sono molte novità"", disse Newman, in un sussulto di esultanza.","/tʃɪ sono molte novita"", disse newman, in ʊn sʊssulto dɪ ezʊltantsa./",B2,Health,"B2,Health",
fume,fumo,/fumo/,And how does a mendicant fume?,E come fa un mendicante ad agitarsi?,/e kome fa ʊn mendikante ad adʒitarsɪ?/,B2,Health,"B2,Health",
gasp,gasp,/ɡasp/,"The air is close, and Jonah gasps.",L'aria è vicina e Jonah sussulta.,/laria e vitʃina e dʒona sʊssulta./,B2,Health,"B2,Health",
generalize,generalizzare,/dʒeneralidzːare/,All travellers do and must generalize too rapidly.,Tutti i viaggiatori fanno e devono generalizzare troppo rapidamente.,/tutːɪ i vjadʒːatorɪ fanno e devono dʒeneralidzːare trɔpːo rapidamente./,B2,Health,"B2,Health",
glare,abbagliamento,/abːaʎamento/,There was something so remarkable in the increasing glare of Mr.,C'era qualcosa di così notevole nel bagliore crescente di Mr.,/tʃɛra kwalkɔza dɪ kozi notevole nel baʎore kreʃɛnte dɪ ɛmmeɛrɾe./,B2,Health,"B2,Health",
glow,bagliore,/baʎore/,Could I resist its glow?,Potrei resistere al suo bagliore?,/potrɛi rezistere al sʊo baʎore?/,B2,Health,"B2,Health",
haste,fretta,/fretːa/,"We have some haste, Leonato.","Dobbiamo affrettarci, Leonato.","/dobːjamo affretːartʃɪ, leonato./",B2,Health,"B2,Health",
health,salute,/salute/,"Was she in health, sir?","Era in salute, signore?","/ɛra in salute, siɲore?/",B2,Health,"B2,Health",
hospitalize,ricoverare,/rikoverare/,This hospitalize is common in everyday life.,Questo ricovero è comune nella vita di tutti i giorni.,/kwesto rikɔvero e komune nella vita dɪ tutːɪ i dʒornɪ./,B2,Health,"B2,Health",
humiliation,umiliazione,/ʊmiliatsione/,"↩ To his credit, after that thorough humiliation, Ambaṭṭha is ready to learn.","A suo merito, dopo questa profonda umiliazione, Ambaṭṭha è pronto a imparare.","/a sʊo mɛrito, dopo kwesta profonda ʊmiliatsione, a ɛmme bi a letːeːraunoeːsɛjd̪iː letːeːraunoeːsɛjd̪iː akːa a e pronto a impaɾare./",B2,Health,"B2,Health",
imprisonment,reclusione,/reklʊzione/,"Well, your imprisonment shall not be long.","Beh, la vostra prigionia non sarà lunga.","/bɛ, la vɔstra pridʒonia non saɾa luŋɡa./",B2,Health,"B2,Health",
inflammation,infiammazione,/infjammatsione/,Cystitis is an inflammation of the bladder.,La cistite è un'infiammazione della vescica.,/la tʃistite e ʊninfjammatsione della veʃika./,B2,Health,"B2,Health",
influenza,influenza,/inflʊɛntsa/,He is ill with influenza.,È malato di influenza.,/e malato dɪ inflʊɛntsa./,B2,Health,"B2,Health",
irritation,irritazione,/irɾitatsione/,Cecil’s first movement was one of irritation.,Il primo movimento di Cecil è stato di irritazione.,/il primo movimento dɪ tʃetʃil e stato dɪ irɾitatsione./,B2,Health,"B2,Health",
loneliness,solitudine,/solitudine/,She had no companions but silence and loneliness.,Non aveva compagni se non il silenzio e la solitudine.,/non aveva kompaɲɲɪ se non il silɛntsio e la solitudine./,B2,Health,"B2,Health",
malady,malessere,/malɛssere/,"The advances of the malady are, luckily, gradual.","I progressi della malattia sono, per fortuna, graduali.","/i proɡrɛssɪ della malatːia sono, per fortuna, ɡradʊalɪ./",B2,Health,"B2,Health",
malaria,malaria,/malaria/,I have made it my life's mission to eradicate malaria.,Ho fatto della mia missione di vita l'eradicazione della malaria.,/o fatːo della mia missjone dɪ vita leradikatsione della malaria./,B2,Health,"B2,Health",
massage,massaggio,/massadʒːo/,Nor do they consent to massage and bathing.,Non acconsentono nemmeno a massaggi e bagni.,/non akːonsentono nemmeno a massadʒːɪ e baɲɲɪ./,B2,Health,"B2,Health",
mercy,misericordia,/mizerikɔrdia/,It is a foolish mercy.,È una misericordia insensata.,/e ʊna mizerikɔrdia insensata./,B2,Health,"B2,Health",
misfortune,sfortuna,/sfortuna/,I can pity their misfortune.,Posso compatire la loro sfortuna.,/pɔsso kompatire la lɔro sfortuna./,B2,Health,"B2,Health",
mortify,mortificare,/mortifikare/,"And how does one person mortify themselves, pursuing the practice of mortifying themselves?","E come si fa a mortificare se stessi, perseguendo la pratica della mortificazione?","/e kome sɪ fa a mortifikare se stessɪ, perseɡwɛndo la pratika della mortifikatsione?/",B2,Health,"B2,Health",
mustache,baffi,/baffɪ/,He has a Brassens mustache.,Ha i baffi alla Brassens.,/a i baffɪ alla brassens./,B2,Health,"B2,Health",
necessity,necessità,/netʃessita/,We could not perceive its necessity.,Non riuscivamo a percepirne la necessità.,/non riʊʃivamo a pertʃepirne la netʃessita./,B2,Health,"B2,Health",
nerve,nervo,/nɛrvo/,Have a little compassion on my nerves.,Abbiate un po' di compassione per i miei nervi.,/abːjate ʊn po dɪ kompassjone per i mjɛi nɛrvɪ./,B2,Health,"B2,Health",
nerves,nervi,/nɛrvɪ/,Have a little compassion on my nerves.,Abbiate un po' di compassione per i miei nervi.,/abːjate ʊn po dɪ kompassjone per i mjɛi nɛrvɪ./,B2,Health,"B2,Health",
neurosis,nevrosi,/nevrɔzɪ/,"In Mary's case, a hysterical neurosis was considered.",Nel caso di Maria si è pensato a una nevrosi isterica.,/nel kazo dɪ mariːa sɪ e pensato a ʊna nevrɔzɪ istɛrika./,B2,Health,"B2,Health",
nostril,narice,/naritʃe/,I saw reawakening appetite in the Roman nostrils of Mr.,Ho visto un risveglio dell'appetito nelle narici romane di Mr.,/o visto ʊn rizveʎo dellapːetito nelle naritʃɪ romane dɪ ɛmmeɛrɾe./,B2,Health,"B2,Health",
paralysis,paralisi,/paɾalizɪ/,Ziri had a sleep paralysis hallucination.,Ziri ha avuto un'allucinazione da paralisi del sonno.,/dzirɪ a avuto ʊnallʊtʃinatsione da paɾalizɪ del sonno./,B2,Health,"B2,Health",
participation,partecipazione,/partetʃipatsione/,"It is not about supplication, but participation.","Non si tratta di supplica, ma di partecipazione.","/non sɪ tratːa dɪ supːlika, ma dɪ partetʃipatsione./",B2,Health,"B2,Health",
paw,zampa,/dzampa/,The patter of paws was redoubled behind the stove.,Il ticchettio delle zampe si è moltiplicato dietro la stufa.,/il tikːetːio delle dzampe sɪ e moltiplikato djɛtro la stufa./,B2,Health,"B2,Health",
pee,pipì,/pipi/,Urine: pee is what is meant.,Urina: si intende la pipì.,/ʊrina: sɪ intɛnde la pipi./,B2,Health,"B2,Health",
perspiration,sudorazione,/sʊdoratsione/,There were beads of perspiration on his brow.,Sulla sua fronte c'erano perle di sudore.,/sʊlla sʊa fronte tʃɛrano pɛrle dɪ sʊdore./,B2,Health,"B2,Health",
pneumonia,polmonite,/polmonite/,I pretended I had pneumonia.,Ho fatto finta di avere la polmonite.,/o fatːo finta dɪ avere la polmonite./,B2,Health,"B2,Health",
polio,poliomielite,/poliomjelite/,She was vaccinated against polio.,È stata vaccinata contro la poliomielite.,/e stata vatʃːinata kontro la poliomjelite./,B2,Health,"B2,Health",
predicament,situazione difficile,/sitʊatsione diffitʃile/,She was in an uncomfortable predicament today.,Oggi si trovava in una situazione scomoda.,/ɔdʒːɪ sɪ trovava in ʊna sitʊatsione skɔmoda./,B2,Health,"B2,Health",
prestige,prestigio,/prestidʒo/,Cantonese is the prestige dialect of the Yue group.,Il cantonese è il dialetto di prestigio del gruppo Yue.,/il kantoneze e il djalɛtːo dɪ prestidʒo del ɡrupːo jue./,B2,Health,"B2,Health",
priority,priorità,/priorita/,We must follow you; Right worthy your priority.,Dobbiamo seguirvi; il diritto è la vostra priorità.,/dobːjamo seɡwirvɪ; il diritːo e la vɔstra priorita./,B2,Health,"B2,Health",
prominence,rilievo,/riliɛvo/,"Mathematics has, in modern times, brought order into greater and greater prominence.","La matematica, in epoca moderna, ha portato l'ordine sempre più in primo piano.","/la matematika, in ɛpoka modɛrna, a portato lɔrdine sɛmpre pjʊ in primo pjano./",B2,Health,"B2,Health",
quarantine,quarantena,/kwaɾantɛna/,There is a 21-day quarantine for people suspected of having contracted the Ebola virus.,È prevista una quarantena di 21 giorni per le persone sospettate di aver contratto il virus Ebola.,/e prevista ʊna kwaɾantɛna dɪ ventuno dʒornɪ per le persone sospetːate dɪ avɛr kontratːo il virʊs ebola./,B2,Health,"B2,Health",
refresh,rinfrescare,/rinfreskare/,Shall a peach refresh him?,Una pesca lo rinfresca?,/ʊna pɛska lo rinfreska?/,B2,Health,"B2,Health",
remains,resti,/rɛstɪ/,Only bodily remains will be left.,Rimarranno solo i resti corporei.,/rimarɾanno solo i rɛstɪ korpɔrei./,B2,Health,"B2,Health",
repression,repressione,/repressjone/,Repression is the only lasting philosophy.,La repressione è l'unica filosofia duratura.,/la repressjone e lunika filozofia dʊratura./,B2,Health,"B2,Health",
retina,retina,/rɛtina/,This could cause irreversible damage to Damiano’s retina.,Questo potrebbe causare danni irreversibili alla retina di Damiano.,/kwesto potrɛbːe kaʊzare dannɪ irɾeversibilɪ alla rɛtina dɪ damjano./,B2,Health,"B2,Health",
retirement,pensionamento,/pensjonamento/,"Is in his retirement, marvellous distempered.","È in pensione, meravigliosamente distemperato.","/e in pensjone, meraviʎozamente distemperato./",B2,Health,"B2,Health",
revive,rivivere,/rivivere/,Henry is dead and never shall revive.,Henry è morto e non rivivrà mai più.,/ɛnrɪ e mɔrto e non rivivra maj pju./,B2,Health,"B2,Health",
sanitation,igiene,/idʒɛne/,"After all, the sanitation and the agriculture of today are still in the rudimentary stage.","Dopo tutto, i servizi igienici e l'agricoltura di oggi sono ancora allo stadio rudimentale.","/dopo tutːo, i servitsɪ idʒɛnitʃɪ e laɡrikoltura dɪ ɔdʒːɪ sono ankora allo stadio rʊdimentale./",B2,Health,"B2,Health",
scar,cicatrice,/tʃikatritʃe/,What a remarkable scar that is upon her lip!,Che cicatrice straordinaria sul suo labbro!,/ke tʃikatritʃe straordinaria sʊl sʊo labːro!/,B2,Health,"B2,Health",
shortness,brevità,/brevita/,"Sir, pardon me in what I have to say. Your plainness and your shortness please me well.","Signore, perdonatemi per quello che ho da dire. La vostra semplicità e la vostra brevità mi piacciono molto.","/siɲore, perdonatemɪ per kwello ke o da dire. la vɔstra semplitʃita e la vɔstra brevita mɪ pjatʃːono molto./",B2,Health,"B2,Health",
skull,cranio,/kranio/,"It was indeed a human skull, perfectly recognizable.","Si trattava effettivamente di un teschio umano, perfettamente riconoscibile.","/sɪ tratːava effetːivamente dɪ ʊn tɛskio ʊmano, perfetːamente rikonoʃibile./",B2,Health,"B2,Health",
sniff,sniff,/zniff/,"When you sniff it, this is one factor of theft.","Quando lo si annusa, questo è un fattore di furto.","/kwando lo sɪ annuza, kwesto ɛ ʊn fatːore dɪ furto./",B2,Health,"B2,Health",
snore,russare,/rʊssare/,"Goes on errands fast asleep, and snores as he waits at table.",Va a fare le commissioni dormendo profondamente e russa mentre aspetta a tavola.,/va a fare le kommissjonɪ dormɛndo profondamente e russa mentre aspɛtːa a tavola./,B2,Health,"B2,Health",
softness,morbidezza,/morbidetsːa/,"I have no softness there, no—sympathy—sentiment—nonsense.","Non c'è morbidezza, non c'è simpatia, non c'è sentimento.","/non tʃe morbidetsːa, non tʃe simpatia, non tʃe sentimento./",B2,Health,"B2,Health",
solidity,solidità,/solidita/,"There is a constant readjusting of particles, which does not affect the solidity of the mass.","C'è un costante riassestamento delle particelle, che non influisce sulla solidità della massa.","/tʃe ʊn kostante riassestamento delle partitʃɛlle, ke non inflʊiʃe sʊlla solidita della massa./",B2,Health,"B2,Health",
stability,stabilità,/stabilita/,The first and most important thing is stability.,La prima e più importante cosa è la stabilità.,/la prima e pjʊ importante kɔza e la stabilita./,B2,Health,"B2,Health",
stammer,balbettare,/balbetːare/,"They tend to stammer, so be patient.","Tendono a balbettare, quindi siate pazienti.","/tendono a balbetːare, kwindɪ sjate patsjɛntɪ./",B2,Health,"B2,Health",
standstill,fermo,/fermo/,We were at a standstill again.,Eravamo di nuovo fermi.,/eravamo dɪ nʊɔvo fermɪ./,B2,Health,"B2,Health",
starvation,inedia,/inɛdia/,"58 There used to be three kinds of illness: greed, starvation, and old age.","58 Un tempo c'erano tre tipi di malattie: l'avidità, la fame e la vecchiaia.","/tʃinkwantɔtːo ʊn tɛmpo tʃɛrano tre tipɪ dɪ malatːie: lavidita, la fame e la vekːjaia./",B2,Health,"B2,Health",
strangle,strangolare,/straŋɡolare/,"The dead man, however, got up and cried: ‘Now will I strangle you.","Il morto, però, si alzò e gridò: ""Ora ti strangolo"".","/il mɔrto, peɾɔ, sɪ altsɔ e ɡridɔ: ""ora tɪ straŋɡolo""./",B2,Health,"B2,Health",
tenderness,tenerezza,/teneretsːa/,I have not bestowed my tenderness anywhere.,Non ho donato la mia tenerezza da nessuna parte.,/non o donato la mia teneretsːa da nessʊna parte./,B2,Health,"B2,Health",
tiredness,stanchezza,/stanketsːa/,"Soon afterwards Kassapagotta thought, “These monks are now rid of their tiredness from traveling.","Poco dopo Kassapagotta pensò: ""Questi monaci si sono liberati dalla stanchezza del viaggio.","/pɔko dopo kassapaɡɔtːa pensɔ: ""kwestɪ mɔnatʃɪ sɪ sono liberatɪ dalla stanketsːa del vjadʒːo./",B2,Health,"B2,Health",
toenail,unghia del piede,/uŋɡia del pjɛde/,Do you use nail clippers to cut your toenails?,Utilizzate il tagliaunghie per tagliare le unghie dei piedi?,/ʊtilidzːate il taʎia unɡie per taʎare le uŋɡje deɪ pjedɪ?/,B2,Health,"B2,Health",
torture,tortura,/tortura/,This idea was torture to him.,Quest'idea lo torturava.,/kwestidɛa lo tortʊrava./,B2,Health,"B2,Health",
trample,calpestare,/kalpestare/,"I would trample on them all, ’ she answered.","Li calpesterei tutti"", rispose.","/lɪ kalpesterɛi tutːɪ"", rispoze./",B2,Health,"B2,Health",
tremor,tremore,/tremore/,They couldn’t make it tremor and tremble and quake.,"Non potevano farlo tremare, tremare e tremare.","/non potevano farlo tremare, tremare e tremare./",B2,Health,"B2,Health",
tuberculosis,tubercolosi,/tʊberkolɔzɪ/,"Do you have any of these diseases: leprosy, abscesses, mild leprosy, tuberculosis, or epilepsy?","Ha una di queste malattie: lebbra, ascessi, lebbra lieve, tubercolosi o epilessia?","/a ʊna dɪ kweste malatːie: lebːra, aʃɛssɪ, lebːra liɛve, tʊberkolɔzɪ o epilessia?/",B2,Health,"B2,Health",
tumor,tumore,/tʊmore/,Robert confessed he had a tumor.,Robert ha confessato di avere un tumore.,/robert a konfessato dɪ avere ʊn tʊmore./,B2,Health,"B2,Health",
typhoid,tifo,/tifo/,Numerous disastrous outbreaks of typhoid fever have been traced to contamination of water.,Numerosi focolai disastrosi di febbre tifoidea sono stati ricondotti alla contaminazione dell'acqua.,/nʊmerozɪ fokolaj dizastrɔzɪ dɪ fɛbːre tifoidɛa sono statɪ rikondɔtːɪ alla kontaminatsione dellakːwa./,B2,Health,"B2,Health",
unease,disagio,/dizadʒo/,The case has caused widespread unease across the city and many posted comments on social media voicing their fears.,Il caso ha provocato un diffuso disagio in tutta la città e molti hanno pubblicato commenti sui social media esprimendo i loro timori.,/il kazo a provokato ʊn diffuzo dizadʒo in tutːa la tʃitːa e moltɪ anno pʊbːlikato kommentɪ sʊi sotʃal mɛdia esprimɛndo i lɔro timorɪ./,B2,Health,"B2,Health",
unhappiness,infelicità,/infelitʃita/,At that the king was unhappy and experienced unhappiness.,A quel punto il re era infelice e sperimentava l'infelicità.,/a kwel punto il rɛ ɛra infelitʃe e sperimentava linfelitʃita./,B2,Health,"B2,Health",
unrest,disordine,/dizordine/,"Ay, so I fear; the more is my unrest.","Sì, lo temo; tanto più è la mia inquietudine.","/siː, lo temo; tanto pjʊ e la mia inkwjetudine./",B2,Health,"B2,Health",
vibration,vibrazione,/vibratsione/,The vibrations now are twice as rapid as before.,Le vibrazioni ora sono due volte più rapide di prima.,/le vibratsionɪ ora sono due vɔlte pjʊ rapide dɪ prima./,B2,Health,"B2,Health",
welfare,benessere,/benɛssere/,Is that for their lasting welfare and happiness?,È per il loro benessere e la loro felicità duraturi?,/e per il lɔro benɛssere e la lɔro felitʃita dʊraturɪ?/,B2,Health,"B2,Health",
worsen,peggiorare,/pedʒːorare/,It’s possible this illness will worsen.,È possibile che la malattia si aggravi.,/e possibile ke la malatːia sɪ aɡːravɪ./,B2,Health,"B2,Health",
yawn,sbadiglio,/zbadiʎo/,"Miss Pocket laughed, and Camilla laughed and said (checking a yawn), “The idea!","Miss Pocket rise, e Camilla rise e disse (controllando uno sbadiglio): ""L'idea!","/miss pokːet rize, e kamilla rize e disse (kontrollando uno zbadiʎo): ""lidɛa!/",B2,Health,"B2,Health",
