"English","Italian","IPA","Tags","Notes"
"Hope","Speranza","speˈran.tsa","emotion","Expectation of favorable outcomes."
"Kindness","Gentilezza","dʒen.tiˈlet.tsa","emotion","Quality of being friendly and considerate."
"Love","Amore","aˈmo.re","emotion","Deep affection and care."
"Hatred","Odio","ˈɔ.djo","emotion","Intense dislike or ill will."
"Peacefulness","Pace","ˈpa.tʃe","emotion","State of tranquility."
"Regret","Rimpianto","rimˈpjan.to","emotion","Sadness over past actions."
"Reluctance","Riluttanza","ri.lutˈtan.tsa","emotion","Unwillingness or hesitation."
"Sadness","Tristezza","trisˈtet.tsa","emotion","Feeling sorrow or unhappiness."
"Surprise","Sorpresa","sorˈpre.za","emotion","Unexpected feeling of astonishment."
"Trust","Fiducia","fiˈdu.tʃa","emotion","Reliance on integrity or ability."
"Worry","Preoccupazione","pre.ok.ku.paˈt͡sjo.ne","emotion","Anxiety about potential problems."
"Wisdom","Saggezza","sadˈd͡ʒet.tsa","emotion","Insight and good judgment."
"Zeal","Zelo","ˈdze.lo","emotion","Great energy or enthusiasm."
"Acceptance","Accettazione","at.tet.taˈt͡sjo.ne","emotion","Embracing reality without resistance."
"Agitation","Agitazione","a.dʒi.taˈt͡sjo.ne","emotion","State of nervous excitement."
"Amusement","Divertimento","di.ver.tiˈmen.to","emotion","Enjoyment and entertainment."
"Anger","Rabbia","ˈrab.bja","emotion","Strong feeling of displeasure."
"Annoyance","Fastidio","fasˈti.djo","emotion","Mild irritation."
"Anticipation","Anticipazione","an.ti.tʃi.paˈt͡sjo.ne","emotion","Looking forward to something."
"Anxiety","Ansia","ˈan.sja","emotion","Unease about future uncertainties."
"Apathy","Apatico","aˈpa.ti.ko","emotion","Lack of interest or concern."
"Awe","Timore reverenziale","tiˈmo.re re.ve.renˈt͡sja.le","emotion","Feeling of reverential respect."
"Boredom","Noia","ˈnɔ.ja","emotion","Disinterest due to lack of stimulation."
"Bravery","Coraggio","koˈrad.d͡ʒo","emotion","Courage in facing danger."
"Compassion","Compassione","kom.pasˈsjo.ne","emotion","Desire to help those suffering."
"Confidence","Fiducia","fiˈdu.tʃa","emotion","Belief in oneself."
"Confusion","Confusione","kon.fuˈzjo.ne","emotion","Lack of clarity."
"Contentment","Contentezza","kon.tenˈtet.tsa","emotion","Feeling satisfied."
"Curiosity","Curiosità","ku.rjo.siˈta","emotion","Desire to learn."
"Delight","Delizia","deˈli.t͡sja","emotion","Great pleasure."
"Despair","Disperazione","dis.pe.raˈt͡sjo.ne","emotion","Loss of hope."
"Disgust","Disgusto","diˈɡus.to","emotion","Strong aversion."
"Empathy","Empatia","em.paˈti.a","emotion","Understanding others' feelings."
"Envy","Invidia","inˈvi.dja","emotion","Resentment of others."
"Excitement","Eccitazione","et.t͡ʃi.taˈt͡sjo.ne","emotion","High energy feeling."
"Fear","Paura","ˈpau.ra","emotion","Anticipation of danger."
"Forgiveness","Perdono","perˈdo.no","emotion","Letting go of resentment."
"Frustration","Frustrazione","fru.straˈt͡sjo.ne","emotion","Feeling blocked."
"Gratitude","Gratitudine","ɡra.ti.tuˈdi.ne","emotion","Thankfulness."
"Greed","Avidità","a.viˈdi.ta","emotion","Excessive desire."
"Guilt","Senso di colpa","ˈsɛn.so di ˈkol.pa","emotion","Remorse for wrongdoing."
"Happiness","Felicità","fe.li.tʃiˈta","emotion","State of joy."
"Hatred","Odio","ˈɔ.djo","emotion","Intense dislike."
"Hope","Speranza","speˈran.tsa","emotion","Expectation of good."
"Humility","Umiltà","u.milˈta","emotion","Modesty."
"Indifference","Indifferenza","in.dif.feˈrɛn.tsa","emotion","Lack of concern."
"Jealousy","Gelosia","dʒe.loˈzja","emotion","Fear of loss."
"Joy","Gioia","ˈdʒɔ.ja","emotion","Great pleasure."
"Kindness","Gentilezza","dʒen.tiˈlet.tsa","emotion","Being considerate."
"Loneliness","Solitudine","so.liˈti.du.ne","emotion","Feeling alone."
"Love","Amore","aˈmo.re","emotion","Deep affection."
"Melancholy","Malinconia","ma.linˈko.nja","emotion","Thoughtful sadness."
"Peace","Pace","ˈpa.tʃe","emotion","Calm and quiet."
"Pride","Orgoglio","orˈɡoʎ.ʎo","emotion","Excessive self-esteem."
"Regret","Rimpianto","rimˈpjan.to","emotion","Sadness over past."
"Relief","Sollievo","solˈlje.vo","emotion","Alleviation of distress."
"Resentment","Risentimento","ri.zen.tiˈmen.to","emotion","Bitterness."
"Sadness","Tristezza","trisˈtet.tsa","emotion","Feeling sorrow."
"Shame","Vergogna","verˈɡoɲ.ɲa","emotion","Pain from wrongdoing."
"Sympathy","Simpatia","simˈpa.tja","emotion","Feeling pity."
"Trust","Fiducia","fiˈdu.tʃa","emotion","Reliance."
"Worry","Preoccupazione","pre.ok.ku.paˈt͡sjo.ne","emotion","Anxiety."
"Wisdom","Saggezza","sadˈd͡ʒet.tsa","emotion","Insight."
"Zeal","Zelo","ˈdze.lo","emotion","Enthusiasm."
"Craving","Brama","ˈbra.ma","emotion","A deep-seated longing or thirst, considered a root of suffering in Theravada Buddhism."
