English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
gymnastics,ginnastica,/dʒinnastika/,When do you have gymnastics?,Quando avete la ginnastica?,/kwando avete la dʒinnastika?/,B1,Activities,"B1,Activities",
hesitate,esitare,/ezitare/,Did he hesitate to speak?,Ha esitato a parlare?,/a ezitato a parlare?/,B1,Activities,"B1,Activities",
housework,lavori domestici,/lavorɪ domɛstitʃɪ/,They were busy with housework.,Erano impegnati nelle faccende domestiche.,/ɛrano impeɲatɪ nelle fatʃːɛnde domɛstike./,B1,Activities,"B1,Activities",
inspection,ispezione,/ispetsione/,What is the object of the sanitary inspection of food?,Qual è l'obiettivo dell'ispezione sanitaria degli alimenti?,/kwal e lobjetːivo dellispetsione sanitaria deʎɪ alimentɪ?/,B1,Activities,"B1,Activities",
invasion,invasione,/invazione/,74 He had seized the favorable moment for an invasion.,74 Aveva colto il momento favorevole per un'invasione.,/setːantakwatːro aveva kɔlto il momento favorevole per ʊninvazione./,B1,Activities,"B1,Activities",
liberation,liberazione,/liberatsione/,This is the fourth liberation.,Questa è la quarta liberazione.,/kwesta ɛ la kwarta liberatsione./,B1,Activities,"B1,Activities",
lottery,lotteria,/lotːeria/,Tom didn't tell anybody that he'd won the lottery.,Tom non ha detto a nessuno di aver vinto la lotteria.,/tɔm non a detːo a nessʊno dɪ avɛr vinto la lotːeria./,B1,Activities,"B1,Activities",
marketing,marketing,/marketiŋɡ/,For that reason the nibs are generally ground before marketing as cacao or cocoa.,Per questo motivo i nibs vengono generalmente macinati prima di essere commercializzati come cacao o cocoa.,/per kwesto motivo i nibs veŋɡono dʒeneralmente matʃinatɪ prima dɪ ɛssere kommertʃalidzːatɪ kome kakao o kokoa./,B1,Activities,"B1,Activities",
measurement,misura,/mizura/,"Preparations are afoot, measurements are made, ground is staked out.","I preparativi sono in corso, le misurazioni vengono effettuate, il terreno viene picchettato.","/i prepaɾativɪ sono in korso, le mizʊratsionɪ veŋɡono effetːʊate, il terɾeno vjɛne pikːetːato./",B1,Activities,"B1,Activities",
miracle,miracolo,/mirakolo/,I have ’scaped by miracle.,Sono scampato per miracolo.,/sono skampato per mirakolo./,B1,Activities,"B1,Activities",
nightlife,vita notturna,/vita notːurna/,"Newspapers have nicknamed the phenomena malamovida, or bad nightlife.","I giornali hanno soprannominato il fenomeno malamovida, o cattiva vita notturna.","/i dʒornalɪ anno soprannominato il fenɔmeno malamɔvida, o katːiva vita notːurna./",B1,Activities,"B1,Activities",
phenomenon,fenomeno,/fenɔmeno/,It is no phenomenon that Mr.,Non è un fenomeno che il Sig.,/non e ʊn fenɔmeno ke il siɡ./,B1,Activities,"B1,Activities",
punishment,punizione,/pʊnitsione/,"Now, has she deserved this punishment?",Si è meritata questa punizione?,/sɪ e meritata kwesta pʊnitsione?/,B1,Activities,"B1,Activities",
recovery,recupero,/rekupero/,May he not do it by fine and recovery?,Non può farlo per mezzo di un'ammenda e di un recupero?,/non pʊɔ farlo per mɛdzːo dɪ ʊnammɛnda e dɪ ʊn rekupero?/,B1,Activities,"B1,Activities",
reduction,riduzione,/ridʊtsione/,The reduction of Egypt was immediately followed by the Persian war.,La riduzione dell'Egitto fu immediatamente seguita dalla guerra persiana.,/la ridʊtsione delledʒitːo fʊ immedjatamente seɡwita dalla ɡwɛrɾa persjana./,B1,Activities,"B1,Activities",
reunification,riunificazione,/riʊnifikatsione/,Financial aid to regions bordering East Germany was discontinued following reunification.,Gli aiuti finanziari alle regioni confinanti con la Germania Est sono stati interrotti dopo la riunificazione.,/ʎɪ ajutɪ finantsjarɪ alle redʒonɪ konfinantɪ kon la dʒermania est sono statɪ interɾotːɪ dopo la riʊnifikatsione./,B1,Activities,"B1,Activities",
safari,safari,/safarɪ/,Sami wanted to go on a safari.,Sami voleva fare un safari.,/samɪ volɛva fare ʊn safarɪ./,B1,Activities,"B1,Activities",
seize,sequestrare,/sekwestrare/,They were then suddenly to seize St.,"Poi, all'improvviso, si sono impadroniti di St.","/pɔi, allimprovvizo, sɪ sono impadronitɪ dɪ ɛssetɪ./",B1,Activities,"B1,Activities",
stun,stordimento,/stordimento/,Israeli police is using stun grenades inside the al-Aqsa Mosque itself.,La polizia israeliana sta usando granate stordenti all'interno della Moschea di al-Aqsa.,/la politsia izraeliana sta ʊzando ɡranate stordɛntɪ allintɛrno della moskɛa dɪ alaksa./,B1,Activities,"B1,Activities",
teamwork,lavoro di squadra,/lavɔro dɪ skwadra/,Do you believe in teamwork?,Credete nel lavoro di squadra?,/kredete nel lavɔro dɪ skwadra?/,B1,Activities,"B1,Activities",
terrorism,terrorismo,/terɾorizmo/,Russian troops are fighting terrorism in Syria.,Le truppe russe combattono il terrorismo in Siria.,/le trupːe russe kombatːono il terɾorizmo in siria./,B1,Activities,"B1,Activities",
theft,furto,/furto/,Bandits have theft as their ambition.,I banditi hanno come ambizione il furto.,/i banditɪ anno kome ambitsione il furto./,B1,Activities,"B1,Activities",
tournament,torneo,/tornɛo/,He didn't even know about that tournament.,Non sapeva nemmeno di quel torneo.,/non sapeva nemmeno dɪ kwel tornɛo./,B1,Activities,"B1,Activities",
uncover,scoprire,/skoprire/,"Steam enters by the left steam-way, which the valve is just commencing to uncover.","Il vapore entra dalla via del vapore sinistra, che la valvola sta iniziando a scoprire.","/il vapore entra dalla via del vapore sinistra, ke la valvola sta initsjando a skoprire./",B1,Activities,"B1,Activities",
unpack,disimballare,/dizimballare/,"Interpreting a sitename is not unlike interpreting a vanity license plate; one has to mentally unpack it, allowing for mono-case and length restrictions and the lack of whitespace.","L'interpretazione di un nome di sito non è dissimile da quella di una targa automobilistica: bisogna disimparlo mentalmente, tenendo conto delle limitazioni di lunghezza e di mono-casio e della mancanza di spazi bianchi.","/linterpretatsione dɪ ʊn nome dɪ sito non e dissimile da kwella dɪ ʊna tarɡa aʊtomobilistika: bizoɲɲa dizimparlo mentalmente, tenɛndo konto delle limitatsionɪ dɪ lʊŋɡetsːa e dɪ mɔnokazio e della mankantsa dɪ spatsɪ bjankɪ./",B1,Activities,"B1,Activities",
victory,vittoria,/vitːɔria/,Are we sure of victory?,Siamo sicuri della vittoria?,/sjamo sikurɪ della vitːɔria?/,B1,Activities,"B1,Activities",
wax,cera,/tʃera/,The character I’ll take with wax.,Il personaggio che porterò con la cera.,/il personadʒːo ke porteɾɔ kon la tʃera./,B1,Activities,"B1,Activities",
workout,allenamento,/allenamento/,Do you have athletic shoes for workouts?,Avete scarpe da ginnastica per gli allenamenti?,/avete skarpe da dʒinnastika per ʎɪ allenamentɪ?/,B1,Activities,"B1,Activities",
